Month-Day,Year,F Scale,Length(in miles),Width(in feet),Injury,Fatality,Proparty damage (in $),State
Aug. 31,2021,0,1.71,25.0,0 ,0 ,10000,alabama
Aug. 31,2021,0,0.65,125.0,0 ,0 ,100000,alabama
Aug. 31,2021,0,0.89,20.0,0 ,0 ,20000,alabama
Apr. 24,2021,0,0.42,100.0,0 ,0 ,25000,alabama
Apr. 24,2021,0,4.09,150.0,2 ,0 ,100000,alabama
Mar. 18,2021,0,1.16,50.0,0 ,0 ,2000,alabama
Mar. 18,2021,0,0.92,50.0,0 ,0 ,2000,alabama
Mar. 18,2021,0,5.24,150.0,1 ,0 ,200000,alabama
Apr. 19,2020,0,6.45,100.0,0 ,0 ,5000,alabama
Apr. 19,2020,0,1.49,500.0,0 ,0 ,250000,alabama
Apr. 19,2020,0,0.71,50.0,0 ,0 ,50000,alabama
Apr. 19,2020,0,11.57,150.0,0 ,0 ,100000,alabama
Apr. 19,2020,0,12.8,150.0,0 ,0 ,100000,alabama
Apr. 19,2020,0,4.4,50.0,0 ,0 ,50000,alabama
Dec. 17,2019,0,0.14,25.0,0 ,0 ,25000,alabama
Jun. 07,2019,0,0.52,25.0,0 ,0 ,25000,alabama
May. 12,2019,0,0.92,100.0,0 ,0 ,10000,alabama
Apr. 14,2019,0,1.49,70.0,0 ,0 ,20000,alabama
Mar. 03,2019,0,5.12,300.0,0 ,0 ,100000,alabama
Mar. 03,2019,0,2.65,50.0,0 ,0 ,15000,alabama
Mar. 03,2019,0,0.27,50.0,0 ,0 ,15000,alabama
Mar. 03,2019,0,2.57,100.0,0 ,0 ,50000,alabama
Mar. 03,2019,0,0.16,300.0,0 ,0 ,10000,alabama
Dec. 02,2018,0,1.03,75.0,0 ,0 ,15000,alabama
Apr. 22,2018,0,1.04,100.0,0 ,0 ,25000,alabama
Apr. 22,2018,0,1.59,100.0,3 ,0 ,100000,alabama
Apr. 22,2018,0,0.16,25.0,0 ,0 ,25000,alabama
Apr. 22,2018,0,2.19,175.0,0 ,0 ,100000,alabama
Apr. 22,2018,0,3.72,150.0,0 ,0 ,100000,alabama
Apr. 22,2018,0,1.18,100.0,0 ,0 ,1000,alabama
Feb. 10,2018,0,0.17,100.0,0 ,0 ,10000,alabama
Oct. 07,2017,0,0.13,25.0,0 ,0 ,5000,alabama
Oct. 07,2017,0,0.55,200.0,0 ,0 ,10000,alabama
Oct. 07,2017,0,0.27,25.0,0 ,0 ,50000,alabama
Jun. 21,2017,0,0.13,25.0,0 ,0 ,25000,alabama
Jun. 21,2017,0,4.84,75.0,0 ,0 ,50000,alabama
Apr. 05,2017,1,2.01,1140.0,0 ,0 ,500000,alabama
Apr. 03,2017,0,0.05,25.0,0 ,0 ,2000,alabama
Feb. 07,2017,0,0.51,150.0,1 ,0 ,100000,alabama
Jan. 22,2017,0,5.52,100.0,0 ,0 ,100000,alabama
Jan. 21,2017,1,14.93,800.0,4 ,0 ,750000,alabama
Jan. 02,2017,0,2.52,200.0,0 ,0 ,100000,alabama
Jan. 02,2017,1,5.97,500.0,0 ,0 ,500000,alabama
Jan. 02,2017,0,1.85,500.0,0 ,0 ,50000,alabama
Mar. 24,2016,0,0.38,50.0,0 ,0 ,8000,alabama
Mar. 03,2016,0,0.14,25.0,0 ,0 ,15000,alabama
Feb. 23,2016,0,1.09,300.0,0 ,0 ,50000,alabama
Feb. 23,2016,0,3.66,900.0,0 ,0 ,75000,alabama
Feb. 23,2016,0,1.63,350.0,0 ,0 ,50000,alabama
Feb. 23,2016,0,2.76,200.0,0 ,0 ,50000,alabama
Feb. 15,2016,0,4.53,50.0,1 ,0 ,100000,alabama
Feb. 15,2016,1,2.19,250.0,0 ,0 ,750000,alabama
Feb. 15,2016,1,3.88,300.0,0 ,0 ,750000,alabama
Apr. 19,2015,0,21.92,200.0,0 ,0 ,100000,alabama
Apr. 19,2015,0,2.1,300.0,0 ,0 ,1000000,alabama
Jan. 04,2015,0,0.02,50.0,0 ,0 ,5000,alabama
Jan. 04,2015,0,1.5,50.0,0 ,0 ,10000,alabama
